YEAR,MONTH,DAY,STID,monthly_predicted_lfm,predicted_lfm,TMAX,TMIN,TAVG,HMAX,HAVG,VDEF,WSMX,WMAX,RAIN,TR05,TR25,TR60,TR75,soil_y_5,soil_y_25,soil_y_60,Date,soil_5_y,soil_25_y,soil_60_y,avg_soil_y,predicted_lfm,date,vpd,rain,kbdi,mean_lfm,lat,long
2017,1,1,WOOD,97.5816076,89.57101926,58.5,26.77,42.52,67.92,52.37,5.01,18.95,25.86,0,2.985,3.9488,3.9337,-999,0.728713204,1.940183866,1.9333062,1/1/2017,0.728713204,1.940183866,1.9333062,1.534067757,89.57101926,201711,5.01,0,89.45955216,,ÿ36.42329,-99.41682
2017,1,2,WOOD,,90.26477754,60.98,35.96,49.05,96.29,64.93,4.75,19.44,25.21,0,2.9457,3.9394,3.9345,-999,0.667633235,1.935937593,1.933678122,1/2/2017,0.667633235,1.935937593,1.933678122,1.512416317,90.26477754,201712,4.75,0,97.46691246,,35.68001,-94.848962
2017,1,3,WOOD,,95.07686171,37.85,21.21,28.16,93.24,58.58,2.08,22.82,31.5,0,2.9899,3.9327,3.9264,-999,0.736509368,1.932840096,1.92987274,1/3/2017,0.736509368,1.932840096,1.92987274,1.533074068,95.07686171,201713,2.08,0,49.86611173,,36.06434,-97.21271
2017,1,4,WOOD,,91.25727793,29.96,13.86,20.98,66.64,49.2,2.08,13.28,18.28,0,-996,3.9454,3.9273,-999,!,1.938661254,1.93029993,1/4/2017,,1.938661254,1.93029993,1.934480592,91.25727793,201714,2.08,0,42.56996017,,,
2017,1,5,WOOD,,93.04015336,20.13,12.6,15.66,88.08,64.43,1.12,16.9,23.24,0,-996,3.9524,3.9287,-999,!,1.941779816,1.930962266,1/5/2017,,1.941779816,1.930962266,1.936371041,93.04015336,201715,1.12,0,36.64087708,,,
2017,1,6,WOOD,,93.28408071,21.48,6.48,12.77,88.71,66.65,0.98,12.05,15.49,0,-996,3.9573,3.9325,-999,!,1.943925513,1.932746715,1/6/2017,,1.943925513,1.932746715,1.938336114,93.28408071,201716,0.98,0,37.29733776,,,
2017,1,7,WOOD,,91.51711667,39.78,4.55,19.95,84.13,63.45,1.91,13.54,17.32,0.01,-996,3.9638,3.9366,-999,!,1.946725147,1.934650363,1/7/2017,,1.946725147,1.934650363,1.940687755,91.51711667,201717,1.91,0.01,52.11896229,,,
2017,1,8,WOOD,,88.11727983,45.76,19.04,32.61,80,47.07,3.71,20.42,29.82,0,-996,3.9683,3.9431,-999,!,1.948632558,1.937622746,1/8/2017,,1.948632558,1.937622746,1.943127652,88.11727983,201718,3.71,0,60.6057079,,,
2017,1,9,WOOD,,83.34486371,64.42,28.08,44.85,59.3,44.17,6.25,28.68,39.53,0,-996,3.9673,3.9476,-999,!,1.948210848,1.93964818,1/9/2017,,1.948210848,1.93964818,1.943929514,83.34486371,201719,6.25,0,110.2999426,,,
2017,1,10,WOOD,,75.74769233,68.41,44.83,57.69,49.29,27.37,12.14,30.09,44.43,0,3.067,3.9495,3.9471,-999,0.863577005,1.940495493,1.939424429,1/10/2017,0.863577005,1.940495493,1.939424429,1.581165642,75.74769233,2017110,12.14,0,128.1380048,,,
2017,1,11,WOOD,,75.0268941,73.51,26.24,55.09,61.22,29.56,12.57,27.47,37.49,0,3.0556,3.9377,3.9416,-999,0.844335066,1.935157297,1.93694174,1/11/2017,0.844335066,1.935157297,1.93694174,1.572144701,75.0268941,2017111,12.57,0,156.6041058,,,
2017,1,12,WOOD,,94.05503828,35.9,13.24,24.14,74.99,53.72,2.28,16.33,22.21,0,3.11,3.9338,3.9321,-999,0.937180232,1.933352737,1.932559791,1/12/2017,0.937180232,1.933352737,1.932559791,1.60103092,94.05503828,2017112,2.28,0,47.79474678,,,
2017,1,13,WOOD,,94.75964451,27.17,20.4,23.98,66.43,60.03,1.77,10.9,14.61,-999,3.1534,3.9441,3.9308,-999,1.012548553,1.938075118,1.931950809,13-01-2017,1.012548553,1.938075118,1.931950809,1.627524827,94.75964451,2017113,1.77,-999,40.59044171,,,
2017,1,14,WOOD,,98.211344,30.75,25.78,28.7,99.01,77.01,1.2,-996,13.3,-999,2.5881,3.9461,3.9328,-999,0.259588907,1.938975956,1.932886767,14-01-2017,0.259588907,1.938975956,1.932886767,1.377150543,98.211344,2017114,1.2,-999,43.18099502,,,
2017,1,15,WOOD,,104.5239592,31.93,29.92,31.07,100,99.2,0.05,-996,-996,-999,1.3523,3.0781,3.9357,-999,0.004711494,0.882433691,1.934234406,15-01-2017,0.004711494,0.882433691,1.934234406,0.940459864,104.5239592,2017115,0.05,-999,44.13851669,,,
2017,1,16,WOOD,,107.531757,36.96,31.7,34.04,100,96.06,0.28,-996,15.93,-999,1.3525,1.481,3.6395,-999,0.004714644,0.007242247,1.725111358,16-01-2017,0.004714644,0.007242247,1.725111358,0.57902275,107.531757,2017116,0.28,-999,48.89633353,,,
2017,1,17,WOOD,,106.7033222,53.78,30.58,41.58,95.88,68.17,3.42,13.37,18.05,-999,1.3689,1.5493,2.354,-999,0.004980278,0.009096076,0.127103765,17-01-2017,0.004980278,0.009096076,0.127103765,0.047060039,106.7033222,2017117,3.42,-999,76.64606283,,,
2017,1,18,WOOD,,108.2901584,58.26,41.13,47.23,92.75,77.05,2.71,20.58,28.34,0.02,1.3854,1.6012,2.0299,-999,0.005262598,0.010814406,0.044724629,18-01-2017,0.005262598,0.010814406,0.044724629,0.020267211,108.2901584,2017118,2.71,0.02,88.73465443,,,
2017,1,19,WOOD,,109.792464,53.87,32.09,45.13,98.31,83.57,1.92,21.68,31.34,0,1.4014,1.6349,1.97,-999,0.005551597,0.012099376,0.036736497,19-01-2017,0.005551597,0.012099376,0.036736497,0.018129157,109.792464,2017119,1.92,0,76.86390544,,,
2017,1,20,WOOD,,106.5066142,65.05,33.36,44.22,100,76.22,3.67,26.33,36.24,0.01,1.4259,1.663,1.9641,-999,0.006025092,0.013286064,0.036029965,20-01-2017,0.006025092,0.013286064,0.036029965,0.01844704,106.5066142,2017120,3.67,0.01,112.8916405,,,
2017,1,21,WOOD,,107.9815923,59.74,30.77,43.85,98.9,77.48,2.88,15.58,23.96,0.02,1.4751,1.6847,1.9652,-999,0.007100993,0.014280998,0.036160671,21-01-2017,0.007100993,0.014280998,0.036160671,0.019180887,107.9815923,2017121,2.88,0.02,93.34260236,,,
2017,1,22,WOOD,,107.9227503,55.08,33.84,44.66,98.66,74.92,2.91,19.39,26.02,0.1,1.4604,1.6992,1.9689,-999,0.006760882,0.014986708,0.036603747,22-01-2017,0.006760882,0.014986708,0.036603747,0.019450446,107.9227503,2017122,2.91,0.1,79.88713035,,,
2017,1,23,WOOD,,102.254622,65.21,29.73,47.24,88.32,57.42,5.93,25.26,33.33,0,1.4822,1.7025,1.9709,-999,0.007271318,0.015152093,0.036845462,23-01-2017,0.007271318,0.015152093,0.036845462,0.019756291,102.254622,2017123,5.93,0,113.5625856,,,
2017,1,24,WOOD,,97.82273306,69.64,33.1,51.63,77.15,48.73,8.29,32.53,42.97,0,1.5166,1.7053,1.9748,-999,0.008155979,0.01529384,0.037321325,24-01-2017,0.008155979,0.01529384,0.037321325,0.020257048,97.82273306,2017124,8.29,0,134.3719812,,,
2017,1,25,WOOD,,108.1315734,41.9,24.16,31.91,75.93,58.09,2.79,20.04,29.37,0,1.5781,1.7201,1.9755,-999,0.010012966,0.016065225,0.037407373,25-01-2017,0.010012966,0.016065225,0.037407373,0.021161855,108.1315734,2017125,2.79,0,54.8497925,,,
2017,1,26,WOOD,,107.595226,44.7,20.44,30.56,81.71,54.82,3.07,15.44,23.17,0,1.6224,1.7426,1.9808,-999,0.011605941,0.017312493,0.038065226,26-01-2017,0.011605941,0.017312493,0.038065226,0.022327887,107.595226,2017126,3.07,0,58.91604437,,,
2017,1,27,WOOD,,105.2397557,45.7,21.5,33.4,70.11,41.9,4.32,20.47,29.82,0,1.6579,1.7601,1.9875,-999,0.013062411,0.018348571,0.038913119,27-01-2017,0.013062411,0.018348571,0.038913119,0.023441367,105.2397557,2017127,4.32,0,60.50772428,,,
2017,1,28,WOOD,,103.7680703,53.91,27.32,39.27,78.27,46.14,5.1,19.71,27.4,0,1.6774,1.7738,1.9948,-999,0.013938301,0.019202358,0.039858038,28-01-2017,0.013938301,0.019202358,0.039858038,0.024332899,103.7680703,2017128,5.1,0,76.96103072,,,
2017,1,29,WOOD,,96.14572145,67.6,34.46,49.17,58.68,34.56,9.16,23.73,33.17,0,1.6949,1.7813,1.9996,-999,0.014773892,0.019686312,0.040491576,29-01-2017,0.014773892,0.019686312,0.040491576,0.024983927,96.14572145,2017129,9.16,0,124.2316233,,,
2017,1,30,WOOD,,91.97639977,75.11,33.47,52.11,56.54,31.61,11.38,22.28,29.53,0,1.7134,1.7855,2.0019,-999,0.015711347,0.019962583,0.040798634,30-01-2017,0.015711347,0.019962583,0.040798634,0.025490855,91.97639977,2017130,11.38,0,167.0898503,,,
2017,1,31,WOOD,,99.56907242,64.49,30.71,47.01,70.44,42.29,7.33,17.94,21.77,0,1.7351,1.7884,2.0028,-999,0.016886418,0.020155578,0.040919408,31-01-2017,0.016886418,0.020155578,0.040919408,0.025987135,99.56907242,2017131,7.33,0,110.5840051,,,
2017,2,1,WOOD,98.23148899,106.0695786,48.96,27.46,38.21,76.08,54.47,3.86,20.56,27.47,0,1.7668,1.797,2.0053,-999,0.01876131,0.020738841,0.041256731,2/1/2017,0.01876131,0.020738841,0.041256731,0.02691896,106.0695786,201721,3.86,0,66.26812235,,,
2017,2,2,WOOD,,109.3228824,33.7,16.29,25.69,83.64,59.06,2.12,17.23,22.44,0,1.8032,1.8091,2.0063,-999,0.021169667,0.021587869,0.041392421,2/2/2017,0.021169667,0.021587869,0.041392421,0.028049986,109.3228824,201722,2.12,0,45.68182895,,,
2017,2,3,WOOD,,108.4286157,37.08,14.43,26.29,84.43,52.78,2.59,11.8,16.44,0,1.8318,1.8224,2.0128,-999,0.023274492,0.022560812,0.042285129,2/3/2017,0.023274492,0.022560812,0.042285129,0.029373478,108.4286157,201723,2.59,0,49.02465593,,,
2017,2,4,WOOD,,101.0887645,65.88,23,44.84,77.47,47.17,6.5,28.92,41.58,0,1.837,1.8301,2.0172,-999,0.023678837,0.023143789,0.042900096,2/4/2017,0.023678837,0.023143789,0.042900096,0.029907574,101.0887645,201724,6.5,0,116.4295427,,,
2017,2,5,WOOD,,109.4912667,57.36,29.18,43.07,100,83.61,2.02,13.83,18.41,0,1.8386,1.8294,2.0201,-999,0.023804642,0.023090181,0.043310193,2/5/2017,0.023804642,0.023090181,0.043310193,0.030068339,109.4912667,201725,2.02,0,86.09037952,,,
2017,2,6,WOOD,,94.67387532,77.22,37.94,55.49,100,56.93,9.92,27.6,39.97,0.01,1.8302,1.8273,2.0209,-999,0.023151457,0.022930094,0.043423997,2/6/2017,0.023151457,0.022930094,0.043423997,0.029835183,94.67387532,201726,9.92,0.01,182.225621,,,
2017,2,7,WOOD,,91.35338446,73.9,37.71,55.77,58.63,34.3,11.69,17.13,23.24,0,1.8351,1.8246,2.02,-999,0.023530296,0.022725879,0.043295988,2/7/2017,0.023530296,0.022725879,0.043295988,0.029850721,91.35338446,201727,11.69,0,159.085344,,,
2017,2,8,WOOD,,107.98384,57,22.63,32.29,84.9,59.74,2.82,20.94,29.44,0,1.869,1.8278,2.0181,-999,0.026324398,0.02296811,0.043026959,2/8/2017,0.026324398,0.02296811,0.043026959,0.030773156,107.98384,201728,2.82,0,85.06463966,,,
2017,2,9,WOOD,,103.8976849,57.04,21.52,38.09,75.87,49.27,4.99,30.96,45.01,0,1.905,1.8436,2.0203,-999,0.029650461,0.024202056,0.043338617,2/9/2017,0.029650461,0.024202056,0.043338617,0.032397044,103.8976849,201729,4.99,0,85.17772632,,,
2017,2,10,WOOD,,78.02928362,89.4,46.15,66.45,48.47,29.27,18.78,30.71,41.81,0,1.8967,1.8449,2.0246,-999,0.028848646,0.024306453,0.043954159,2/10/2017,0.028848646,0.024306453,0.043954159,0.032369753,78.02928362,2017210,18.78,0,307.6396623,,,
2017,2,11,WOOD,,74.8484198,89.65,53.31,69.93,59.57,27.9,20.48,22.21,28.72,0,1.885,1.8282,2.0234,-999,0.027754571,0.022998568,0.043781524,2/11/2017,0.027754571,0.022998568,0.043781524,0.031511555,74.8484198,2017211,20.48,0,311.0714827,,,
2017,2,12,WOOD,,101.6292576,53.42,40.11,46.69,73.19,44.14,6.2,21.77,29.08,0,1.9138,1.8278,2.0197,-999,0.030524568,0.02296811,0.043253401,2/12/2017,0.030524568,0.02296811,0.043253401,0.032248693,101.6292576,2017212,6.2,0,75.78416075,,,
2017,2,13,WOOD,,108.3728698,41.11,28.86,36.83,99.43,65.81,2.6,9.54,11.98,0.31,1.9362,1.8402,2.0178,-999,0.032865733,0.023931107,0.04298463,13-02-2017,0.032865733,0.023931107,0.04298463,0.03326049,108.3728698,2017213,2.6,0.31,53.79913874,,,
2017,2,14,WOOD,,110.085752,45.6,32.42,38.08,99.34,79.96,1.73,14.86,20.02,0.14,1.424,1.8523,2.0207,-999,0.005986974,0.024909245,0.043395519,14-02-2017,0.005986974,0.024909245,0.043395519,0.024763913,110.085752,2017214,1.73,0.14,60.34505198,,,
2017,2,15,WOOD,,103.7591869,57.38,26.26,41.49,85.31,53.81,5.1,14.12,17.46,0,1.4361,1.8564,2.0271,-999,0.0062339,0.025249558,0.044315956,15-02-2017,0.0062339,0.025249558,0.044315956,0.025266472,103.7591869,2017215,5.1,0,86.1478931,,,
2017,2,16,WOOD,,93.90997126,73.99,38.44,54.27,65.92,40.79,10.35,21.32,30.24,0,1.4686,1.843,2.0313,-999,0.00694855,0.024154022,0.044930345,16-02-2017,0.00694855,0.024154022,0.044930345,0.025344305,93.90997126,2017216,10.35,0,159.6646486,,,
2017,2,17,WOOD,,93.98596623,73.02,45.05,57.44,66.53,43.9,10.31,19.71,28.05,0,1.5077,1.8259,2.0317,-999,0.007917308,0.022823979,0.04498929,17-02-2017,0.007917308,0.022823979,0.04498929,0.025243526,93.98596623,2017217,10.31,0,153.5525971,,,
2017,2,18,WOOD,,101.7702429,72.5,36.69,54.86,99.06,68.34,6.16,16.62,23.6,0,1.5474,1.8148,2.0312,-999,0.009038613,0.021999654,0.04491562,18-02-2017,0.009038613,0.021999654,0.04491562,0.025317963,101.7702429,2017218,6.16,0,150.3927807,,,
2017,2,19,WOOD,,107.697947,69.96,47.79,57.01,100,84.96,3,24.9,33.11,0,1.5711,1.81,2.0288,-999,0.009781984,0.021652377,0.044563641,19-02-2017,0.009781984,0.021652377,0.044563641,0.025332667,107.697947,2017219,3,0,136.0558612,,,
2017,2,20,WOOD,,95.7117426,72.61,46.71,58.38,86.93,50.7,9.39,20.67,31.94,0,1.5921,1.8024,2.0259,-999,0.010491339,0.021113583,0.044141932,20-02-2017,0.010491339,0.021113583,0.044141932,0.025248951,95.7117426,2017220,9.39,0,151.0545586,,,
2017,2,21,WOOD,,91.01642397,78.28,34.54,55.89,77.84,41.98,11.89,18.21,23.02,0,1.6448,1.8071,2.0218,-999,0.012504931,0.021445198,0.043552377,21-02-2017,0.012504931,0.021445198,0.043552377,0.025834168,91.01642397,2017221,11.89,0,190.4357016,,,
2017,2,22,WOOD,,81.12660693,82.98,48.63,65.35,51.44,28.27,17.16,16.99,21.77,0,1.678,1.8047,2.0212,-999,0.013966157,0.021275224,0.043466749,22-02-2017,0.013966157,0.021275224,0.043466749,0.026236043,81.12660693,2017222,17.16,0,232.3958264,,,
2017,2,23,WOOD,,82.28773414,85.42,37.79,63.05,81.23,35.06,16.54,31.59,44.13,0,1.7101,1.799,2.0172,-999,0.015539903,0.02087686,0.042900096,23-02-2017,0.015539903,0.02087686,0.042900096,0.026438953,82.28773414,2017223,16.54,0,258.2664743,,,
2017,2,24,WOOD,,106.9609836,45.28,24.34,35.13,78.33,55.63,3.38,24.02,32.53,0,1.7801,1.8071,2.0147,-999,0.019608075,0.021445198,0.042549616,24-02-2017,0.019608075,0.021445198,0.042549616,0.02786763,106.9609836,2017224,3.38,0,59.82978288,,,
2017,2,25,WOOD,,105.8170598,48.11,13.86,31.9,86.33,49.7,3.98,16.74,23.82,0,1.8335,1.8274,2.0183,-999,0.023405925,0.022937692,0.043055201,25-02-2017,0.023405925,0.022937692,0.043055201,0.029799606,105.8170598,2017225,3.98,0,64.67712385,,,
2017,2,26,WOOD,,103.1799903,55.6,30.42,41.47,74.73,46.23,5.38,15.86,25.66,0,1.8569,1.8342,2.0253,-999,0.025291372,0.023460257,0.04405517,26-02-2017,0.025291372,0.023460257,0.04405517,0.0309356,103.1799903,2017226,5.38,0,81.24200422,,,
2017,2,27,WOOD,,93.32521146,74.41,32.44,55.06,82.56,46.06,10.63,26.19,37.63,0,1.8716,1.8383,2.0281,-999,0.026551749,0.023781003,0.04446149,27-02-2017,0.026551749,0.023781003,0.04446149,0.031598081,93.32521146,2017227,10.63,0,162.4018351,,,
2017,2,28,WOOD,,84.65714924,77.04,39.38,61.84,53.33,25.02,15.25,31.21,44.43,0,1.8812,1.8313,2.029,-999,0.027408114,0.023235975,0.044592869,28-02-2017,0.027408114,0.023235975,0.044592869,0.031745653,84.65714924,2017228,15.25,0,180.8729934,,,
2017,3,1,WOOD,98.30436438,99.35314721,57.6,28.06,43.12,72.68,33.08,7.41,25.39,36.62,0,1.9161,1.8327,2.0292,-999,0.030757182,0.023343983,0.044622116,3/1/2017,0.030757182,0.023343983,0.044622116,0.03290776,99.35314721,201731,7.41,0,86.78424672,,,
2017,3,2,WOOD,,97.29497164,63.21,22.16,44.15,60.25,29,8.5,13.57,20.31,0,1.9457,1.8435,2.0308,-999,0.033911205,0.024194043,0.044856769,3/2/2017,0.033911205,0.024194043,0.044856769,0.034320672,97.29497164,201732,8.5,0,105.5394465,,,
2017,3,3,WOOD,,92.14731402,69.94,29.74,52.04,61.57,28.71,11.24,26.42,36.69,0,1.9591,1.8489,2.0339,-999,0.035441672,0.024630474,0.045314846,3/3/2017,0.035441672,0.024630474,0.045314846,0.035128997,92.14731402,201733,11.24,0,135.9498496,,,
2017,3,4,WOOD,,97.56641732,69.15,43.38,55.18,87.68,46.66,8.35,31.12,43.33,0,1.9661,1.8458,2.0348,-999,0.036267959,0.024378988,0.045448691,3/4/2017,0.036267959,0.024378988,0.045448691,0.035365213,97.56641732,201734,8.35,0,131.8437722,,,
2017,3,5,WOOD,,100.3136338,77.67,53.87,62.14,87.96,70.22,6.89,32.28,42.68,0,1.9524,1.8369,2.0325,-999,0.034668137,0.023670996,0.045107409,3/5/2017,0.034668137,0.023670996,0.045107409,0.03448218,100.3136338,201735,6.89,0,185.6594263,,,
2017,3,6,WOOD,,86.98079681,84.94,45.47,64.74,90.43,45.48,14,37.69,52.97,0,1.9526,1.8272,2.0271,-999,0.034690985,0.022922498,0.044315956,3/6/2017,0.034690985,0.022922498,0.044315956,0.03397648,86.98079681,201736,14,0,252.9318563,,,
2017,3,7,WOOD,,93.73805462,65.46,27.78,47.3,36.42,17.27,10.39,17.17,24.7,0,1.9908,1.8338,2.0236,-999,0.039337522,0.023429195,0.043810251,3/7/2017,0.039337522,0.023429195,0.043810251,0.035525656,93.73805462,201737,10.39,0,114.6214405,,,
2017,3,8,WOOD,,86.76773761,75.61,37.01,57.87,63.73,23.57,14.1,27.51,38.59,0,2.0112,1.8425,2.0234,-999,0.042063651,0.024114066,0.043781524,3/8/2017,0.042063651,0.024114066,0.043781524,0.03665308,86.76773761,201738,14.1,0,170.5374563,,,
2017,3,9,WOOD,,86.43193516,83.57,49.64,64.7,93.04,45.73,14.28,20.33,29.82,0,2.0063,1.8414,2.0246,-999,0.041392421,0.024026392,0.043954159,3/9/2017,0.041392421,0.024026392,0.043954159,0.036457657,86.43193516,201739,14.28,0,238.3730796,,,
2017,3,10,WOOD,,103.899915,53.64,33.76,42.17,70.23,47.67,4.96,22.28,31.63,0,2.041,1.8412,2.0238,-999,0.046381293,0.024010485,0.043838996,3/10/2017,0.046381293,0.024010485,0.043838996,0.038076925,103.899915,2017310,4.96,0,76.30908523,,,
2017,3,11,WOOD,,107.5756313,45.99,28.66,38.9,98.05,66.05,2.99,16.11,20.98,0.01,2.0729,1.8549,2.024,-999,0.051483072,0.025124524,0.043867759,3/11/2017,0.051483072,0.025124524,0.043867759,0.040158451,107.5756313,2017311,2.99,0.01,60.98397046,,,
2017,3,12,WOOD,,110.6700566,46.3,25.86,35.72,99.43,84.34,1.33,19.73,29.95,0.01,2.0989,1.8689,2.0269,-999,0.056042274,0.026315692,0.044286906,3/12/2017,0.056042274,0.026315692,0.044286906,0.042214957,110.6700566,2017312,1.33,0.01,61.50054046,,,
2017,3,13,WOOD,,105.4268424,45.87,32.34,39.85,89.52,52.6,4.12,22.44,32.08,0,2.1067,1.8747,2.0339,-999,0.057485013,0.026825356,0.045314846,13-03-2017,0.057485013,0.026825356,0.045314846,0.043208405,105.4268424,2017313,4.12,0,60.78608848,,,
2017,3,14,WOOD,,105.2653008,54.46,25.23,38.46,78.35,55.08,4.2,16.64,21.34,0,2.121,1.879,2.0372,-999,0.060224302,0.027209488,0.045807504,14-03-2017,0.060224302,0.027209488,0.045807504,0.044413764,105.2653008,2017314,4.2,0,78.31583251,,,
2017,3,15,WOOD,,103.8881265,60.39,24.28,42.65,88.88,58.82,4.93,17.27,33.62,0,2.1303,1.8828,2.0389,-999,0.06207333,0.027553468,0.046063336,15-03-2017,0.06207333,0.027553468,0.046063336,0.045230045,103.8881265,2017315,4.93,0,95.47352361,,,
2017,3,16,WOOD,,91.87478065,84.49,44.16,63.94,89.88,58.5,11.34,26.13,35.37,0,2.1129,1.8764,2.042,-999,0.058657488,0.026976578,0.046533454,16-03-2017,0.058657488,0.026976578,0.046533454,0.04405584,91.87478065,2017316,11.34,0,248.0424453,,,
2017,3,17,WOOD,,93.09963239,77.29,47.32,63.08,96.44,54.71,10.69,20.71,26.82,0,2.1114,1.8627,2.0403,-999,0.058371713,0.025781447,0.04627507,17-03-2017,0.058371713,0.025781447,0.04627507,0.043476077,93.09963239,2017317,10.69,0,182.7548475,,,
2017,3,18,WOOD,,94.29253517,80.22,43.05,62.57,86.28,53.52,10.05,17.49,23.89,0,2.1282,1.8609,2.0356,-999,0.061651056,0.02562836,0.045567989,18-03-2017,0.061651056,0.02562836,0.045567989,0.044282468,94.29253517,2017318,10.05,0,206.6024795,,,
2017,3,19,WOOD,,78.84933421,93,61.32,76.31,82.15,50.66,18.29,24.72,36.39,0,2.1143,1.8476,2.0312,-999,0.058925437,0.024524702,0.04491562,19-03-2017,0.058925437,0.024524702,0.04491562,0.042788586,78.84933421,2017319,18.29,0,361.3181446,,,
2017,3,20,WOOD,,79.95017136,87.85,52.77,72.15,56.51,39.71,17.7,19.77,26.53,0,2.1341,1.8369,2.023,-999,0.062844582,0.023670996,0.043724127,20-03-2017,0.062844582,0.023670996,0.043724127,0.043413235,79.95017136,2017320,17.7,0,287.2684954,,,
2017,3,21,WOOD,,98.52267238,69.26,47.59,58.83,84.87,57.63,7.78,20.67,26.75,0,2.1876,1.8418,2.0174,-999,0.074737732,0.024058237,0.042928256,21-03-2017,0.074737732,0.024058237,0.042928256,0.047241408,98.52267238,2017321,7.78,0,132.4060988,,,
2017,3,22,WOOD,,100.3212837,65.17,48.4,55.35,89.46,54.99,6.8,19.19,27.11,0,2.2331,1.8544,2.0154,-999,0.086532465,0.025082982,0.042647467,22-03-2017,0.086532465,0.025082982,0.042647467,0.051420971,100.3212837,2017322,6.8,0,113.3943598,,,
2017,3,23,WOOD,,89.84666961,84.22,58.46,70.27,94.63,59.73,12.38,38.54,51.29,0,2.2407,1.8561,2.0151,-999,0.088668881,0.025224502,0.042605504,23-03-2017,0.088668881,0.025224502,0.042605504,0.052166296,89.84666961,2017323,12.38,0,245.1597277,,,
2017,3,24,WOOD,,97.01994023,69.67,44.71,57.81,85.55,53.42,8.53,30.69,45.3,0.01,2.2919,1.8575,2.0119,-999,0.104427783,0.02534164,0.042160407,24-03-2017,0.104427783,0.02534164,0.042160407,0.057309944,97.01994023,2017324,8.53,0.01,134.5287346,,,
2017,3,25,WOOD,,101.7474325,69.28,43.18,52.77,90.21,65.24,5.97,22.35,31.94,0,2.3521,1.8749,2.0131,-999,0.126346234,0.026843104,0.042326782,25-03-2017,0.126346234,0.026843104,0.042326782,0.06517204,101.7474325,2017325,5.97,0,132.5086635,,,
2017,3,26,WOOD,,101.0909062,75.67,38.82,53.54,100,72.5,6.28,22.44,34.63,0,2.4044,1.8867,2.0139,-999,0.148811878,0.02791096,0.042438056,26-03-2017,0.148811878,0.02791096,0.042438056,0.073053631,101.0909062,2017326,6.28,0,170.9568285,,,
2017,3,27,WOOD,,102.2328222,68.47,45.08,54.53,91.25,68.08,5.63,16.66,24.34,0,2.4509,1.895,2.0183,-999,0.171826892,0.028687077,0.043055201,27-03-2017,0.171826892,0.028687077,0.043055201,0.081189723,102.2328222,2017327,5.63,0,128.4335313,,,
2017,3,28,WOOD,,112.4998171,50.22,44.89,47.39,99.46,97.01,0.34,27.85,38.59,1.84,2.1568,1.8454,2.0199,-999,0.067648743,0.024346724,0.043281788,28-03-2017,0.067648743,0.024346724,0.043281788,0.045092418,112.4998171,2017328,0.34,1.84,68.75086127,,,
2017,3,29,WOOD,,111.9686151,50.81,42.61,46.38,100,92.15,0.8,27.98,39.91,1.05,1.309,1.3982,1.8026,-999,0.004076568,0.005492558,0.02112759,29-03-2017,0.004076568,0.005492558,0.02112759,0.010232239,111.9686151,2017329,0.8,1.05,69.9667328,,,
